Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861043,568.8072954,1391.166543,4107.29677,161.1639176,19.59177031,17.73599449,10.69849776,0.053804081,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243,1.213909905,0.268575077,2.150641898,2.787709514,1.065622639,2.022541134
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365052937,-3.259074622,-1.365583433,2.813675214,3.160612207,11.0593352,25.77639752,-15.36488955,-0.523560209,17.36842105,2.243589744,-0.962160294,1.469732765,1.405821712,-1.940890058,1.695361071,1.905550953,5.284765898
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,8.635282086,14.8454883,11.39877921,8.352613469,11.2726971,5.172482413,3.844239769,7.411259866,8.124940169,8.876444532,12.37059487,4.580706607,1.650479896,2.606401792,2.461299377,1.813233902,3.244587998,2.403363525,2.977184413,1.827288509,2.10990702,1.504215166,1.553300159,1.482588328,0.70180233,-0.864881446,1.539517125,4.461642573,0.407675597,3.734130166,4.380667355,1.836936307,1.47335735,1.015415194,2.035711982,-0.94654445,1.9115038,3.017503702,1.873671547,-0.929862178,2.352816325,0.208076985,1.744986282
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.221021149,-0.075847728,1.791110338,3.289483943,2.983345712,2.684505897,4.867864552,2.254002435,4.753261758,5.134018634,5.191290232,6.193329791,8.984519066,16.37959534,16.50302987,14.02135728,11.4195668,8.236706883,8.630795937,10.0161833,9.529412753,11.71150301,10.15813444,7.859449848,4.631589589,6.455824158,7.056182389,7.198576032,9.246009137,6.102352767,3.043001213,1.503976487,0.89146477,1.021437472,2.270689294,2.725958836,1.267141821,1.189030242,0.487575649,2.558021881,4.617100009,2.835819531,3.007398181,3.244911434,3.806950994,5.120484675,4.982430315,4.614583524,4.988338454,1.165383439,6.206780722,1.789129964,-0.15259154,1.44182453,-0.6165424,-0.597558625,3.745090037,1.830155298,3.418785916,1.783655358
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,5.087153717,3.340203214,3.678266121,3.183788219,5.321415449,3.122366081,3.247762568,2.838031951,2.733572877,6.45138989,6.204374575,7.599931595,8.045541911,9.502139514,6.457775892,5.624919435,5.198712148,5.993016616,4.114371171,5.580629168,6.716667662,5.355289417,3.472783369,4.949773408,2.962995804,2.950997015,2.436948188,1.526855442,2.964760556,2.999680609,3.641871531,3.479093295,2.757084639,2.524942619,1.813918193,0.986205502,1.266995537,0.441905227,0.256349694,1.364040914,1.947105394,1.145595667,1.307552579,1.73971885,2.537794158,1.892161069,2.221175867,1.956322281,1.889264178,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667,1.848294698,1.005534159,1.801930508,1.622589405,2.312344592
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54951268,1065.329226,747.1245266,1386.067388,545.6563568,26.41916286,9.242504581,-0.965134766,2.162143305,12.49277345,2.515009979,4.214386164,6.961465116,9.251965578,14.72349655,11.30121914,21.02932861,27.77745943,-18.84495709,13.54581673,22.52436131,2.882932999,0.445064412,-1.284995726,-8.849692506,14.67140039,16.17240024,12.18487696,-0.241307862,-7.582123026
Burundi,BDI,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.07743634,-3.567416454,4.687149302,5.417217573,-1.029363778,3.152033961,-5.317986172,3.05681315,5.361879836,5.184511807,1.380218947,4.29080997,5.510442472,12.45517764,21.08690579,8.074948246,14.30412561,12.50770522,26.13070761,16.38402436,-6.063315087,5.672021548,6.428548803,17.21619499,5.068838976,-4.257414237,-3.417795078,3.4912227,14.75718482,5.985561541,4.093140793,5.4017607,7.742645676,6.638445456,16.10271174,14.45311141,32.39778923,11.450556,14.95414026,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.27337152,24.21579774,10.45879485,8.561551747,8.364247586,14.29243968,7.955459176,5.30485357,21.33404254,0.96047019,11.44917292,-2.850857066,0.822247025,11.89801083
Belgium,BEL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.315468694,1.667691946,3.0257967,4.642426558,5.100712937,4.086014933,3.193430937,2.620289277,4.023826311,6.680472355,5.358217814,6.317819214,6.806986431,12.16834026,12.88972281,7.575263114,7.478059968,4.423250337,4.505241375,4.126596969,5.139196661,7.570416249,5.612850366,5.438717243,4.627742139,2.796781136,1.684110879,2.168989903,4.797457362,2.812403713,2.87662448,3.42452456,3.993231923,2.094304776,1.22076958,0.476619741,0.75762441,1.805643501,0.598897783,2.014617387,1.982802721,1.640007795,1.850088683,1.914990948,2.083074213,2.264707144,1.931721117,1.908845425,0.533179398,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555,1.330386128,1.920850695,1.830272796,1.518919988,1.754070579,1.284524365
Benin,BEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.041435672,3.780561136,2.549041132,-0.363671983,2.057620458,1.136665599,0.141072431,3.273524952,3.454195522,5.04704694,1.573283774,5.317226078,4.822739942,14.9207099,14.24693576,14.03543002,5.176886815,12.33445895,13.00468583,10.18781985,7.468948266,16.14828401,4.746209742,1.953580959,-4.876981735,-3.604172582,3.02845985,-0.610506907,2.224934457,2.176596925,0.756620152,3.025134465,2.378321824,35.03011278,15.09945191,6.907293665,3.667509174,5.231604748,48.34254339,4.341055664,1.970285582,3.554213255,3.061704124,0.769711004,4.293664135,2.094317073,0.390153238,6.434152206,2.539692061,0.88088567,3.73308304,7.698908077,1.397298395,-0.247782654,0.851504261,0.683591111,-0.367891614,0.670442105,-0.397554452,2.878032289
Burkina Faso,BFA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.900608242,2.010371569,5.147524754,1.812216582,-0.656072018,2.303116945,-4.411008405,-0.263878695,6.913154193,1.783427218,3.377475325,7.296645255,2.677858966,11.01470938,8.176155974,6.725505666,18.66197634,14.5323255,7.753525513,8.694368528,13.58461938,9.046516419,5.409316963,6.501085288,0.757066706,-6.345676864,1.237323173,3.4085566,4.831620408,1.810015422,-3.967780748,0.22705962,-1.441839783,14.63896188,6.769569038,0.348705151,1.55619985,7.940316031,17.39082451,-0.819773185,3.961552917,3.056986091,1.484728815,0.09064859,3.739385397,-0.662826822,2.492349183,9.159800437,2.40550487,3.779618728,6.738004807,5.823999488,-2.129171178,-0.620386926,-2.223954179,2.604299192,1.41629728,1.07396689,1.617093954,6.83501465
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.257481579,0.022223496,5.164059022,-8.743224624,7.931704957,6.296188834,14.79196345,-5.769584381,11.8277158,0.510309049,2.963254932,4.402019652,61.40578328,44.5427169,80.5697564,-17.63041929,-3.210155929,25.61888559,12.56450599,17.55506709,9.894690312,9.855812463,8.487755878,7.875566349,18.4951157,8.254404894,11.11963117,7.495835297,8.33797325,6.532735292,2.729531996,2.582161899,0.155518173,3.966216316,7.144938703,19.14321311,3.800232201,4.736212562,3.781037737,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.144663025,7.859450855,8.164573678,7.174953427,5.668788528,5.87277704,6.72785241,6.278692845,5.597386853,4.458952023,4.089773091
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,2.820938368,1.916472804,-0.645271728,2.736748496,0.229177129,1.345489614,0.0638388,-5.389743836,6.729684134,26.18800066,226.5378598,59.57864944,51.09105375,72.70496847,135.9717891,62.96634179,913.2117133,33.95101753,3.319129312,7.380852358,6.117736873,3.848379586,2.189415781,5.58155865,6.594250624,6.756476777,11.04777728,8.100504232,3.938027582,0.764233397,6.112979908,1.112136794,0.071962013,1.340740195,2.946785657,3.32208191,4.810288428,4.232654424,5.236819061,4.202619231
Bahrain,BHR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,18.91176506,13.72399415,-3.689967158,-0.418480068,-1.824994526,-17.39265031,0.659048471,2.009427703,3.974660365,4.826695567,-1.882524863,-3.532652291,-3.025814742,7.331189486,1.090668488,0.196721929,0.931715111,-7.057410565,2.656433743,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.255156915,0.247278734,5.51968542,4.332436919,0.107858756,-5.336485167
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.160601259,1.089632544,1.343764187,1.50530105,2.011727721,3.771318548,4.713072544,5.163480795,8.925372793,6.145345673,4.582551579,6.786658895,5.55102348,13.23270697,10.65637827,2.38966527,1.728703028,2.247883785,8.554096535,10.00686562,17.68832771,3.69500754,5.976967024,3.171435469,8.460727143,4.660387029,6.586347651,1.484310644,1.813171336,5.073711046,2.556539629,3.905565083,-0.851983447,2.183366927,0.802435284,0.98424358,64.17218655,12.99852931,0.223912945,0.921917928,0.353982112,3.960763092,1.154479107,1.194630016,5.056845759,0.827937103,2.947322454,1.488464357,-1.035990447,-0.392294309,-0.858815623,3.267287945,1.531586984,3.802312858,5.040239163,0.765975376,1.413079628,1.071526481,1.828744326,-11.9619407
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84743319,-17.05676337,13.01148218,-1.581925361,8.35572908,21.83624288,4.726117913,5.007866114,1.410861851,2.161971274,6.189015832,7.800127273,6.197569555,7.335351328,0.185466542,1.406293659,2.432527989,0.795773265,-0.224121882,1.000337171,1.365727212,1.406962883,1.696359701,2.747569582,2.631204786,0.213044208
Belarus,BLR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767051,1030.776812,1058.714497,1945.748606,661.5040768,53.71432731,71.64957481,76.58044633,316.7934351,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612,16.02249378,8.34191705,8.623147404,12.13922998,8.626732645,10.10076264
Belize,BLZ,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.763026844,1.356964588,0.937659292,2.13617101,5.61061427,5.773933778,3.122443711,1.679358121,0.215932233,7.369642397,5.063903656,-1.235235149,14.67627088,21.71062296,16.87729136,1.157484454,2.242495449,7.349181985,3.585434213,14.94878367,-2.044402418,-6.979994383,7.740755182,9.439079915,-1.805036508,4.202361223,9.581537065,3.726335541,2.045386014,0.172866167,-3.180174033,4.056028094,1.65158329,3.595976397,6.052271818,1.965863725,-1.478274302,1.483259232,-2.255253498,0.475944593,-0.30633951,1.731252126,-2.765722981,2.008202427,2.871067366,4.74444278,4.50430522,2.687309557,-2.729709196,1.496224682,4.075469263,1.786056993,2.385974395,1.469829413,0.606779754,3.961079484,2.018563112,0.175679575,1.684657291,-4.016780119
Bermuda,BMU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,0.939036516,0.976544538,1.270801433,0.461053037,1.461122997,2.608611012,3.480335622,8.98161461,6.281063123,6.269519406,9.546211565,9.525770761,12.81220965,14.98394773,6.357027204,2.783649201,9.269101095,4.918710256,6.415363402,9.854087069,17.7093913,12.20859197,10.99738108,10.29655249,7.61408817,5.835136713,6.48815418,4.893013972,5.636713147,6.03357231,6.430591168,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.587942931,3.12171387,-2.377049238
Bolivia,BOL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.548173318,3.561471057,0.824214662,8.385943052,5.891025175,3.315876428,6.232458617,4.588484241,3.719008264,3.960561147,2.538632267,18.9777488,42.94450909,61.54596046,6.695277658,8.598920875,12.54061843,14.1038108,19.79717364,24.75761946,29.37315142,158.8047604,265.6166468,1443.463603,12338.62232,230.0183927,13.97289991,18.18473175,13.18642794,16.26793991,17.68943693,13.19920758,6.557159358,7.952203941,11.42728592,11.58020594,5.705042541,7.051130173,2.411561422,5.19540791,1.870092796,2.820758433,6.329991141,7.967709974,5.940795568,13.66367938,7.373355353,10.38118272,-2.419895917,8.77750899,14.60235436,7.10027531,5.995388532,2.049497565,-4.620602295,-1.354870536,6.061399961,3.056265908,-0.693003423,-1.908859115
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,34.61780494,50.24945448,78.41743346,89.53366533,58.9331842,37.93609796,26.52894193,26.70671636,20.05178423,16.25511154,19.38458511,19.86709168,29.5803567,34.605855,33.92943674,41.20362402,45.39805621,38.22761123,54.36596003,92.14194461,100.5288771,101.0343947,131.4840451,201.7402821,248.5436591,149.1793183,206.2087087,627.9514702,1304.424209,2736.970678,416.6780877,969.0129218,1996.15035,2240.168869,93.97804304,18.45624378,7.72902341,4.924361587,8.010500877,5.606065153,8.225094316,9.798112234,14.09102153,7.752060759,7.431224755,6.774274119,6.439038089,8.778552722,7.313482746,8.423338336,8.318592219,7.943126942,7.504564532,7.846709743,7.566175013,8.103604357,3.671384513,4.493534332,4.280505119,4.805398417
Barbados,BRB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,29.36072849,3.020982565,9.750335746,6.71750617,12.37833345,44.67810205,12.20028903,9.845767084,5.664288659,5.183243101,3.514327243,4.473495157,7.337770192,2.757355115,6.823577751,3.728308355,4.495282919,2.12239359,5.195366413,2.209842656,1.016149209,2.53841642,0.916898498,8.703256154,4.433423516,-1.322839151,2.255389252,0.907856237,1.115872167,5.828144136,6.667724557,4.265719162,8.436091641,1.66215638,-1.684865074,3.81816146,3.511501278,-0.566836805,2.900726799,0.542156273,-2.005678513,-0.038714673,2.576828727,2.776033594,2.506881348,4.683078815
Brunei Darussalam,BRN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,5.518963851,5.62712678,8.381099413,-2.171429325,12.67188974,86.11396727,9.021595024,-4.838443333,-11.42003532,-1.274171563,-2.464941047,-31.90474758,10.72996071,-7.669073022,8.698049959,8.409963766,-2.837280823,1.726875356,-2.951489527,-8.763626527,2.872997532,4.488755815,8.584853385,-11.64857357,11.59397648,29.01570917,-5.59189805,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284,-17.61280313,-9.167861616,4.953690289,9.217653488,-3.335767975,-10.86375956
Bhutan,BTN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.462555273,7.287149228,7.158359405,10.16368902,6.508614701,7.185437903,1.101172684,14.96487182,5.60791538,6.205353076,8.941284395,8.923289307,8.513450764,12.34125508,8.284382763,8.112632814,12.90687486,10.6962672,6.17025886,7.350196168,5.358776045,4.755219574,3.066148262,3.704944877,5.902775454,5.419860934,2.953441211,5.510470264,4.75628605,5.854311232,8.510299111,9.1799297,5.86984322,6.920960939,3.557068165,4.383411291,5.104921117,1.759330695,0.899053924,6.852907461
Botswana,BWA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.933946527,1.360735324,1.176826763,2.547498874,3.846275629,5.788742008,7.581551072,2.166149449,1.584355256,5.978593381,4.664180023,10.77542219,9.906612342,12.79692414,16.46728186,11.31552988,4.93738331,12.46681136,21.85636174,10.19028253,-0.088322838,3.695418373,8.745485397,15.42698507,22.89365943,14.06124987,12.69406983,22.69705957,13.64877726,6.300018284,5.177710042,6.63928073,13.06470039,9.46380484,7.15529484,16.11219538,4.990608474,9.967270935,14.23520845,14.17096689,8.312825089,1.187370705,3.25908433,10.07878862,15.47170656,7.473131023,4.9276071,4.72939345,6.462525782,8.920001916,13.95807721,0.193793942,2.309144521,7.799173535,3.816146234,11.68372362,-2.647417611,-0.331891492,0.445650835,5.65149594
Central African Republic,CAF,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,4.635018524,4.888746868,4.674475701,7.54197105,5.039138701,4.475411048,-0.77441723,16.17240106,-3.852687713,4.4908797,4.938268289,4.644237089,2.199490262,5.380999705,19.32621621,25.99662693,11.37246282,9.228393702,10.92663398,18.26537917,13.87274605,20.91423405,11.10288136,1.419401065,34.14517535,-3.429037228,-2.303351183,2.62405594,2.4562048,1.836645106,-0.389815608,2.782647022,-3.433020318,24.41256968,9.897975858,-3.543045733,0.823381001,-0.414154095,4.08471549,8.506601078,0.425938675,-2.371881706,1.336418631,-4.439785938,4.188437082,3.334045939,1.83823165,7.077070724,0.711628391,4.211309311,4.009115057,6.181036177,2.487486778,11.8938033,2.708263108,2.980114084,6.443706288,-1.224117158,2.381348317,4.441460821
Canada,CAN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,2.44442708,1.306770807,2.144431819,2.833782707,3.785067302,4.951353868,4.409081595,4.058720858,4.8281626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888413679,3.071335142,4.593831662,2.044025945,0.843483727,1.255872329,2.444373551,1.363187307,1.065703303,-1.357274676,3.983738602,-2.311525374,2.849946456,3.23475903,1.211917544,1.737448,1.944598697,-0.876717545,0.75403003,2.56499684,1.61741439,1.47519792,0.749680464
Central Europe and the Baltics,CEB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.96062573,28.36254768,27.33521839,17.95251714,9.922472833,8.199644001,6.164576864,5.565267655,5.121486981,3.937824045,4.303738148,4.916646962,3.121715671,3.886289566,5.44232774,5.504885369,2.965357516,0.929440948,3.27057482,2.361494844,1.364704738,1.340740195,0.99227616,1.141450601,2.947266421,3.526212136,3.188931533,2.368618962
