Indicator Name,2016,2017,2018,2019,2020
"Inflation, GDP deflator (annual %)",1.901646775,1.946398244,1.818873571,0.495450028,-0.923994281
"Inflation, GDP deflator (annual %)",6.245663136,22.93255423,21.42622592,13.62256757,6.221218398
"Inflation, GDP deflator (annual %)",0.864382928,1.299554832,1.812996752,1.754070579,1.284524365
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",0.322898794,1.299554832,1.245255115,1.304657166,1.103930714
"Inflation, GDP deflator (annual %)",2.187309907,3.590365015,4.024454151,3.188931533,-0.294903106
"Inflation, GDP deflator (annual %)",10.39792554,6.676855083,12.38229481,12.86039682,18.24389172
"Inflation, GDP deflator (annual %)",0.874115426,1.464064024,2.002209227,2.199603922,1.596822656
"Inflation, GDP deflator (annual %)",1.314572399,4.46763841,5.13232621,2.618691218,2.576474501
"Inflation, GDP deflator (annual %)",0.087425458,0.819262897,2.002209227,1.495412396,1.242272406
"Inflation, GDP deflator (annual %)",2.633326432,1.698457206,1.425718207,2.375151374,-1.752543649
"Inflation, GDP deflator (annual %)",0.522559343,0.521577263,0.992224566,1.278592146,2.524649139
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",4.0478378,7.471082977,9.386340012,0.344986588,2.302688844
"Inflation, GDP deflator (annual %)",-4.26975398,3.820302144,7.176657494,1.547485198,-9.160568285
"Inflation, GDP deflator (annual %)",1.901106634,1.818766408,1.999034892,2.015103187,5.347677552
"Inflation, GDP deflator (annual %)",2.619318296,8.491046669,4.361109044,5.192391453,7.28127821
"Inflation, GDP deflator (annual %)",15.74861961,10.67731058,10.56847993,8.481072981,7.112453723
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",5.668953941,10.35650721,7.05908442,9.949845309,12.95968293
"Inflation, GDP deflator (annual %)",7.820622749,3.92171862,6.951764038,6.257425756,6.257163264
"Inflation, GDP deflator (annual %)",6.096399673,5.93859668,5.249994642,-3.417863031,0.10251975
"Inflation, GDP deflator (annual %)",-6.285422111,12.74237653,9.513842918,-2.196443465,-9.33214895
"Inflation, GDP deflator (annual %)",-0.578580752,0.285406259,-0.165244042,0.248490586,-0.837548131
"Inflation, GDP deflator (annual %)",2.644144944,1.526173501,-0.643855628,3.198874036,-0.416734719
"Inflation, GDP deflator (annual %)",3.537782458,3.266499642,0.117577136,1.887641536,
"Inflation, GDP deflator (annual %)",2.707191297,1.747914109,1.189612962,3.680606437,2.645188087
"Inflation, GDP deflator (annual %)",1.574075771,0.998991461,1.512736188,2.416163795,4.173632179
"Inflation, GDP deflator (annual %)",0.897726319,2.109123518,-2.887581564,2.961396246,-26.29604987
"Inflation, GDP deflator (annual %)",0.765975376,1.830272796,2.011773449,1.884951067,1.21550873
"Inflation, GDP deflator (annual %)",1.637647522,2.883468189,3.657551022,2.047145111,0.635094957
"Inflation, GDP deflator (annual %)",3.678068144,4.512842976,1.947216915,4.126697133,4.634186675
"Inflation, GDP deflator (annual %)",4.349228941,4.122201459,2.658974525,3.000011819,4.351524553
"Inflation, GDP deflator (annual %)",-0.074922101,1.163654826,2.010366801,1.919309384,-0.129291632
"Inflation, GDP deflator (annual %)",15.15999718,14.00537303,7.278760516,17.55061276,20.5805876
"Inflation, GDP deflator (annual %)",1.320878951,4.029336507,4.846481988,4.765536616,5.915595688
"Inflation, GDP deflator (annual %)",2.63616762,4.232681975,3.818323569,2.440600408,2.236261441
"Inflation, GDP deflator (annual %)",2.644144944,4.122201459,3.398105023,2.85603412,2.645188087
"Inflation, GDP deflator (annual %)",2.812129514,3.742047209,3.052062592,3.217122903,3.404472156
"Inflation, GDP deflator (annual %)",2.160992696,2.437607639,2.459286095,3.198874036,0.549999976
"Inflation, GDP deflator (annual %)",2.438924087,4.292678122,3.818323569,1.598798134,-0.456130066
"Inflation, GDP deflator (annual %)",3.475254586,4.122201459,3.102955543,3.235371769,3.565433886
"Inflation, GDP deflator (annual %)",2.236778594,2.161122582,1.299980009,1.80002116,
"Inflation, GDP deflator (annual %)",3.237974951,3.969257934,3.737251671,3.566001422,4.611673928
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",0.705182878,0.925858589,0.711919255,4.2247889,-1.212120401
"Inflation, GDP deflator (annual %)",1.607192439,12.24917751,32.89860856,36.91008284,39.0059417
"Inflation, GDP deflator (annual %)",-11.10417092,14.65035979,18.2039921,-2.475749688,-15.17395562
"Inflation, GDP deflator (annual %)",2.260860867,0.936992856,2.652950624,4.589430895,3.214351922
"Inflation, GDP deflator (annual %)",0.560467633,-0.001837749,0.887278237,1.884951067,0.972869138
"Inflation, GDP deflator (annual %)",1.13435002,0.726343221,1.068132047,0.91507523,1.167592431
"Inflation, GDP deflator (annual %)",4.664171191,6.549766846,4.99324115,3.182503095,3.555789525
"Inflation, GDP deflator (annual %)",1.362006642,1.679076457,1.711128061,1.670625755,-0.262084212
"Inflation, GDP deflator (annual %)",0.419944376,-0.074349504,0.004628939,0.640853236,0.84216464
"Inflation, GDP deflator (annual %)",13.63843362,11.21110566,9.205605991,7.633286238,4.210858297
"Inflation, GDP deflator (annual %)",5.849628946,7.605200324,4.233621101,4.590190839,5.181970295
"Inflation, GDP deflator (annual %)",6.050564275,6.327145861,3.447445127,3.949387891,5.759907
"Inflation, GDP deflator (annual %)",3.475254586,3.341042159,3.111821368,3.235371769,-0.865696886
"Inflation, GDP deflator (annual %)",0.171534981,0.964916333,5.641280799,-2.660532783,8.006945044
"Inflation, GDP deflator (annual %)",-3.622628574,4.201686477,-0.997100114,3.054746296,-1.638861074
"Inflation, GDP deflator (annual %)",1.986038505,2.222781382,0.482948983,-0.839325308,1.3129091
"Inflation, GDP deflator (annual %)",-6.83796631,16.23109993,12.58351724,-1.336532857,-14.07122157
"Inflation, GDP deflator (annual %)",3.678068144,3.615658261,2.192478428,3.182503095,2.645188087
"Inflation, GDP deflator (annual %)",3.022306443,1.852096761,1.919889194,2.043551026,4.991291174
"Inflation, GDP deflator (annual %)",1.04467626,2.961142629,5.454397231,4.357746521,84.58534649
"Inflation, GDP deflator (annual %)",6.972956972,-2.617934153,-0.209872797,-0.560426634,-0.602001544
"Inflation, GDP deflator (annual %)",-2.557563462,14.43075778,18.12364521,-1.103625624,-28.96073546
"Inflation, GDP deflator (annual %)",-0.453292351,3.414698471,0.482768211,2.664242428,-4.16946967
"Inflation, GDP deflator (annual %)",2.184398161,2.576828727,2.35669985,2.664242428,2.429359295
"Inflation, GDP deflator (annual %)",3.475254586,3.92171862,3.111821368,4.000174627,4.089773091
"Inflation, GDP deflator (annual %)",4.905611843,6.191151484,4.729021523,4.530918481,6.257163264
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",4.84313582,7.265644858,3.826651153,2.735619671,3.425164358
"Inflation, GDP deflator (annual %)",2.517845936,4.122201459,3.398105023,3.235371769,3.425164358
"Inflation, GDP deflator (annual %)",2.67566812,4.04958287,3.422775075,2.980704033,2.699574532
"Inflation, GDP deflator (annual %)",-0.294676754,2.017878177,9.622803752,3.146575609,-0.032835695
"Inflation, GDP deflator (annual %)",1.616167869,3.630874764,3.226106405,2.375151374,1.013374262
"Inflation, GDP deflator (annual %)",1.576252772,4.24343179,3.526212136,2.654234194,1.459281574
"Inflation, GDP deflator (annual %)",-1.107616926,2.142903997,1.731701858,0.577087746,4.271360594
"Inflation, GDP deflator (annual %)",0.864382928,2.947266421,3.893608357,2.57514231,-0.092277179
"Inflation, GDP deflator (annual %)",0.861602466,2.150083848,3.543470792,2.403631776,-0.235732797
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",1.483157005,0.634941335,1.089633971,1.357076976,0.857573709
"Inflation, GDP deflator (annual %)",0.159432006,0.886513363,0.991522346,1.279273101,2.523772207
"Inflation, GDP deflator (annual %)",5.674085249,6.250278797,3.180023176,5.400134533,5.447545895
"Inflation, GDP deflator (annual %)",8.960080727,4.961539757,8.297993313,6.522090641,4.351524553
"Inflation, GDP deflator (annual %)",0.225232737,1.38579964,3.149739981,-1.08206191,0.360187795
"Inflation, GDP deflator (annual %)",0.560467633,6.390654712,8.206537292,1.670625755,0.297744748
"Inflation, GDP deflator (annual %)",5.605277513,6.71270643,4.946411123,4.135023754,2.90669985
"Inflation, GDP deflator (annual %)",8.206404379,2.471859084,0.345650272,1.332751993,4.392674053
"Inflation, GDP deflator (annual %)",2.626322364,3.822624108,3.312105714,2.699931049,2.576474501
"Inflation, GDP deflator (annual %)",3.465252857,2.807027035,3.926155289,0.868168685,1.12777189
"Inflation, GDP deflator (annual %)",1.351122314,1.934273211,1.457963911,1.930542072,0.532340178
"Inflation, GDP deflator (annual %)",1.763998862,2.222780769,2.25673045,2.314455287,1.44925988
"Inflation, GDP deflator (annual %)",-2.651352414,5.372901021,5.445659436,6.265218659,5.057000336
"Inflation, GDP deflator (annual %)",1.362006642,6.390654712,7.751826419,3.849469301,1.933904841
"Inflation, GDP deflator (annual %)",5.101095417,3.824946071,3.226106405,2.022142505,-0.175604638
"Inflation, GDP deflator (annual %)",2.993126764,10.80044641,7.960615867,9.972213257,3.706721766
"Inflation, GDP deflator (annual %)",4.60693153,2.97029703,3.479697828,2.167514704,
"Inflation, GDP deflator (annual %)",13.67560965,7.640707351,3.00116964,5.055708413,2.499981967
"Inflation, GDP deflator (annual %)",11.21012975,1.583938326,3.102955543,4.342926975,3.521883435
"Inflation, GDP deflator (annual %)",2.147570096,1.296872213,1.447272084,0.504436487,1.332744145
"Inflation, GDP deflator (annual %)",19.54413214,60.98697072,6.129094001,7.72834798,10.20314909
"Inflation, GDP deflator (annual %)",1.658259966,3.778960943,0.624729188,0.074344314,-0.77780922
"Inflation, GDP deflator (annual %)",1.04924737,1.880067872,1.61741439,1.785151537,0.749680464
"Inflation, GDP deflator (annual %)",7.968672012,9.919038236,4.428484637,0.61268165,5.820580709
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",1.792721466,0.372075773,2.175787868,0.406851114,0.899635392
"Inflation, GDP deflator (annual %)",9.54367007,11.11891807,10.22848509,10.38477919,7.849142046
"Inflation, GDP deflator (annual %)",4.59008267,4.122201459,2.658974525,5.511692234,5.862415901
"Inflation, GDP deflator (annual %)",0.454667289,1.260707158,2.437090745,3.032733792,2.291701276
"Inflation, GDP deflator (annual %)",-1.474253826,3.951104549,6.651608266,-0.472598024,-3.604605158
"Inflation, GDP deflator (annual %)",7.150334788,8.261412549,4.355858468,4.691155935,3.608984337
"Inflation, GDP deflator (annual %)",27.18832891,12.29303899,4.003170828,3.75,1.841456736
"Inflation, GDP deflator (annual %)",2.475838333,3.568177657,2.035857045,3.659990973,-1.290750495
"Inflation, GDP deflator (annual %)",1.091798695,1.824519602,2.00062206,2.03507987,1.433092992
"Inflation, GDP deflator (annual %)",-9.136275276,7.297943298,11.73229461,-2.66567395,-13.22198411
"Inflation, GDP deflator (annual %)",1.515731156,2.722063583,2.732764144,1.335191344,0.10251975
"Inflation, GDP deflator (annual %)",0.400235639,4.013377553,2.459286095,8.778732454,10.14140186
"Inflation, GDP deflator (annual %)",2.002046028,1.729023996,0.673383441,0.179926531,-1.795944397
