Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Unemployment Rate,% of economically active population,18.973,15.213,13.789,13.046,14.583,11.764,12.936,14.683,14.846,11.906,11.263,12.882,12.106,10.275,9.498,9.658,9.734,7.267,9.044,9.902,12.794,11.058,10.456,10.414
Unemployment Rate,% of economically active population,10.367,9.633,9.533,9.133,8.7,8.1,7.967,7.733,7.1,6.633,6.367,6.067,5.833,5.7,5.867,5.667,5.967,6.633,7.233,6.967,7.067,6.933,6.767,6.3
Unemployment Rate,% of economically active population,8.867,7.8,7.333,8.1,7.833,6.467,6.333,5.767,6.0,5.233,5.0,4.4,4.867,4.2,4.767,4.033,4.567,5.2,5.133,5.133,5.667,4.367,4.533,4.633
Unemployment Rate,% of economically active population,9.9,9.0,8.8,9.7,10.1,9.1,8.9,9.9,9.7,8.3,8.0,9.3,9.2,7.8,7.3,8.7,8.5,9.8,9.5,10.1,10.4,9.3,9.1,10.013
Unemployment Rate,% of economically active population,8.167,9.3,8.5,7.6,9.2,8.7,8.3,7.2,9.1,9.6,9.0,9.1,10.1,10.6,9.7,8.9,10.4,13.1,11.7,11.0,10.2,9.6,8.2,7.926
Unemployment Rate,% of economically active population,11.1,11.4,11.9,12.2,13.9,13.1,12.5,11.9,13.2,12.6,12.0,11.7,12.8,12.1,11.9,11.1,12.4,13.6,14.9,14.2,14.9,14.2,12.6,12.217
Unemployment Rate,% of economically active population,6.3,7.1,6.8,6.1,6.6,7.0,6.7,6.4,6.9,7.2,7.1,6.8,6.85,7.103,7.048,6.981,8.229,12.248,11.577,10.227,10.244,8.933,8.077,7.377
Unemployment Rate,% of economically active population,10.685,8.916,9.111,8.181,10.648,9.011,9.332,8.518,10.669,9.425,9.452,9.185,11.794,10.1,10.579,9.542,12.59,20.338,17.533,13.781,15.776,15.03,12.903,11.212
Unemployment Rate,% of economically active population,9.501,9.39,9.72,9.541,9.13,8.497,9.368,9.293,10.255,8.673,10.176,11.951,11.286,11.924,11.395,12.417,12.455,24.008,21.985,19.98,18.691,18.065,15.298,13.68
Unemployment Rate,% of economically active population,13.304,13.324,13.344,13.324,13.047,13.209,13.327,13.35,13.316,13.439,13.543,13.541,13.484,13.579,13.656,13.628,13.547,13.625,13.69,13.655,13.57,13.644,13.702,13.651
Unemployment Rate,% of economically active population,7.353,6.676,6.681,6.517,5.643,5.778,5.364,5.819,5.685,5.212,5.197,4.803,5.825,5.574,5.944,4.948,10.885,16.822,8.593,7.375,6.943,7.421,6.553,5.52
Unemployment Rate,% of economically active population,4.04,3.921,4.05,3.519,3.384,3.431,3.511,3.35,3.178,3.335,3.516,3.285,3.36,3.522,3.741,3.338,3.406,4.79,5.246,4.284,4.334,4.223,4.298,3.71
