Category,Unit,2016,2017,2018,2019,2020,2021
Minimum Wage per Hour,ETB,2.0,2.0,2.0,2.0,2.0,2.0
Minimum Wage per Hour,GMD,5.7,5.7,5.7,5.7,5.7,5.7
Minimum Wage per Hour,GHS,1.2,1.3,1.5,1.6,1.8,1.9
Minimum Wage per Hour,ILS,30.0,31.8,33.8,34.2,36.6,34.6
Minimum Wage per Hour,JOD,0.8,0.9,0.9,0.9,0.9,0.9
Minimum Wage per Hour,MGA,755.3,810.7,881.2,923.1,970.3,970.3
Minimum Wage per Hour,XOF,196.4,198.5,200.7,199.4,199.4,199.7
Minimum Wage per Hour,MUR,26.6,25.9,49.4,51.8,51.8,51.9
Minimum Wage per Hour,MAD,13.2,13.2,13.2,13.2,13.2,13.2
Minimum Wage per Hour,NGN,92.3,92.3,153.8,153.8,153.8,153.8
Minimum Wage per Hour,RWF,15.3,15.6,15.2,16.0,16.0,16.1
Minimum Wage per Hour,XOF,157.8,157.8,228.6,239.5,239.5,239.5
Minimum Wage per Hour,SCR,24.2,24.8,24.4,29.1,32.7,31.6
Minimum Wage per Hour,SLL,"2,564.1","2,564.1","2,564.1","2,564.1","2,564.1","2,564.1"
Minimum Wage per Hour,ZAR,13.3,13.3,17.7,19.7,21.9,22.8
Minimum Wage per Hour,TZS,391.1,391.1,390.9,390.9,390.9,390.8
Minimum Wage per Hour,UGX,28.3,28.3,28.3,28.3,28.3,28.3
Minimum Wage per Hour,YER,112.6,112.6,112.6,112.6,112.6,112.6
Minimum Wage per Hour,CAD,12.6,13.0,13.3,13.6,15.3,15.0
Minimum Wage per Hour,USD,8.4,8.4,8.4,8.4,8.4,8.3
Minimum Wage per Hour,EUR,6.6,7.9,7.9,7.9,8.2,8.3
Minimum Wage per Hour,EUR,9.6,9.9,10.0,10.2,10.6,10.7
Minimum Wage per Hour,EUR,5.3,5.3,5.3,5.3,5.4,5.4
Minimum Wage per Hour,EUR,9.4,9.5,9.6,9.8,10.0,10.0
Minimum Wage per Hour,EUR,9.4,9.9,9.9,10.4,10.3,10.7
Minimum Wage per Hour,EUR,3.9,3.9,3.9,4.3,4.4,4.4
Minimum Wage per Hour,ISK,"1,540.5","1,674.0","1,804.1","1,916.8","2,085.2","2,316.3"
Minimum Wage per Hour,EUR,10.1,10.1,10.3,10.6,10.9,11.1
Minimum Wage per Hour,EUR,11.8,12.4,12.4,12.8,13.4,14.3
Minimum Wage per Hour,EUR,4.4,4.5,4.6,4.5,4.8,4.9
Minimum Wage per Hour,EUR,11.1,11.4,11.6,11.9,12.4,12.8
Minimum Wage per Hour,EUR,3.8,3.9,4.1,4.3,4.6,4.7
Minimum Wage per Hour,EUR,4.8,5.2,5.3,6.6,7.0,7.1
Minimum Wage per Hour,TRY,8.3,9.0,10.5,13.3,16.0,19.5
Minimum Wage per Hour,GBP,7.7,8.1,8.5,8.8,9.5,9.7
